YearQuarter,Industry,Total Gross Earnings
2015Q4,Construction,142288100
2016Q1,Construction,142276700
2016Q2,Construction,145197700
2016Q3,Construction,141440200
2016Q4,Construction,150905400
2017Q1,Construction,160015000
2017Q2,Construction,160594600
2017Q3,Construction,161473100
2017Q4,Construction,165925500
2018Q1,Construction,164055400
2018Q2,Construction,167821400
2018Q3,Construction,167260400
2018Q4,Construction,180303500
1989Q1,Wholesale Trade,34203100
1989Q2,Wholesale Trade,33384600
1989Q3,Wholesale Trade,33260400
1989Q4,Wholesale Trade,32921600
1990Q1,Wholesale Trade,35463500
1990Q2,Wholesale Trade,34241000
1990Q3,Wholesale Trade,35500500
1990Q4,Wholesale Trade,36333500
1991Q1,Wholesale Trade,38072700
1991Q2,Wholesale Trade,35741400
1991Q3,Wholesale Trade,35167600
1991Q4,Wholesale Trade,35823900
1992Q1,Wholesale Trade,37690900
1992Q2,Wholesale Trade,37060300
1992Q3,Wholesale Trade,36906300
1992Q4,Wholesale Trade,38227000
1993Q1,Wholesale Trade,38847900
1993Q2,Wholesale Trade,39449500
1993Q3,Wholesale Trade,39882500
1993Q4,Wholesale Trade,41163200
1994Q1,Wholesale Trade,41500200
1994Q2,Wholesale Trade,43664400
1994Q3,Wholesale Trade,44340700
1994Q4,Wholesale Trade,45283600
1995Q1,Wholesale Trade,46030300
1995Q2,Wholesale Trade,46813300
1995Q3,Wholesale Trade,47981500
1995Q4,Wholesale Trade,50101300
1996Q1,Wholesale Trade,49355200
1996Q2,Wholesale Trade,51112600
1996Q3,Wholesale Trade,52797700
1996Q4,Wholesale Trade,53923500
1997Q1,Wholesale Trade,52446400
1997Q2,Wholesale Trade,55892500
1997Q3,Wholesale Trade,57179000
1997Q4,Wholesale Trade,58599800
1998Q1,Wholesale Trade,54463200
1998Q2,Wholesale Trade,57544600
1998Q3,Wholesale Trade,57373500
1998Q4,Wholesale Trade,55877000
1999Q1,Wholesale Trade,55370700
1999Q2,Wholesale Trade,54723100
1999Q3,Wholesale Trade,55538600
1999Q4,Wholesale Trade,57437600
2000Q1,Wholesale Trade,57415100
2000Q2,Wholesale Trade,56432100
2000Q3,Wholesale Trade,57918900
2000Q4,Wholesale Trade,59472700
2001Q1,Wholesale Trade,60754900
2001Q2,Wholesale Trade,62851800
2001Q3,Wholesale Trade,62430800
2001Q4,Wholesale Trade,63398200
2002Q1,Wholesale Trade,64632600
2002Q2,Wholesale Trade,64395700
2002Q3,Wholesale Trade,66143200
2002Q4,Wholesale Trade,65873800
2003Q1,Wholesale Trade,64553600
2003Q2,Wholesale Trade,64953700
2003Q3,Wholesale Trade,65839300
2003Q4,Wholesale Trade,67193700
2004Q1,Wholesale Trade,65335900
2004Q2,Wholesale Trade,67447300
2004Q3,Wholesale Trade,69450000
2004Q4,Wholesale Trade,69859600
2005Q1,Wholesale Trade,71467700
2005Q2,Wholesale Trade,76614400
2005Q3,Wholesale Trade,76512500
2005Q4,Wholesale Trade,77318000
2006Q1,Wholesale Trade,76339300
2006Q2,Wholesale Trade,76428600
2006Q3,Wholesale Trade,78136700
2006Q4,Wholesale Trade,79391900
2007Q1,Wholesale Trade,78991000
2007Q2,Wholesale Trade,80579900
2007Q3,Wholesale Trade,83206300
2007Q4,Wholesale Trade,87817300
2008Q1,Wholesale Trade,87422100
2008Q2,Wholesale Trade,88566800
2008Q3,Wholesale Trade,88797300
2008Q4,Wholesale Trade,87468900
2009Q1,Wholesale Trade,87477700
2009Q2,Wholesale Trade,86016500
2009Q3,Wholesale Trade,83728900
2009Q4,Wholesale Trade,84489200
2010Q1,Wholesale Trade,82201500
2010Q2,Wholesale Trade,81893000
2010Q3,Wholesale Trade,81040400
2010Q4,Wholesale Trade,84179600
2011Q1,Wholesale Trade,85672300
2011Q2,Wholesale Trade,89657000
2011Q3,Wholesale Trade,88697500
2011Q4,Wholesale Trade,89015300
2012Q1,Wholesale Trade,91000900
2012Q2,Wholesale Trade,92874500
2012Q3,Wholesale Trade,96098400
2012Q4,Wholesale Trade,96060800
2013Q1,Wholesale Trade,95250300
2013Q2,Wholesale Trade,98513900
2013Q3,Wholesale Trade,99019200
2013Q4,Wholesale Trade,101827000
2014Q1,Wholesale Trade,102693400
2014Q2,Wholesale Trade,101484500
2014Q3,Wholesale Trade,106168000
2014Q4,Wholesale Trade,102353900
2015Q1,Wholesale Trade,100192000
2015Q2,Wholesale Trade,104621100
2015Q3,Wholesale Trade,108508200
2015Q4,Wholesale Trade,108763000
2016Q1,Wholesale Trade,113395400
2016Q2,Wholesale Trade,111540600
2016Q3,Wholesale Trade,117113800
2016Q4,Wholesale Trade,114747200
2017Q1,Wholesale Trade,116022000
2017Q2,Wholesale Trade,114176900
2017Q3,Wholesale Trade,116455200
2017Q4,Wholesale Trade,121229000
2018Q1,Wholesale Trade,123881000
2018Q2,Wholesale Trade,126653900
2018Q3,Wholesale Trade,128740000
2018Q4,Wholesale Trade,132004000
1989Q1,Retail Trade,33436900
1989Q2,Retail Trade,33526400
1989Q3,Retail Trade,32706600
1989Q4,Retail Trade,33157600
1990Q1,Retail Trade,34412100
1990Q2,Retail Trade,33426000
1990Q3,Retail Trade,34057700
1990Q4,Retail Trade,34633100
1991Q1,Retail Trade,35868600
1991Q2,Retail Trade,34595700
1991Q3,Retail Trade,33278700
1991Q4,Retail Trade,33329600
1992Q1,Retail Trade,34067400
1992Q2,Retail Trade,33304300
1992Q3,Retail Trade,32723700
1992Q4,Retail Trade,34460200
1993Q1,Retail Trade,34514400
1993Q2,Retail Trade,34585200
1993Q3,Retail Trade,34093200
1993Q4,Retail Trade,35405200
1994Q1,Retail Trade,35845500
1994Q2,Retail Trade,37275400
1994Q3,Retail Trade,37387900
1994Q4,Retail Trade,38987000
1995Q1,Retail Trade,38042400
1995Q2,Retail Trade,38718400
1995Q3,Retail Trade,39814100
1995Q4,Retail Trade,41009200
1996Q1,Retail Trade,40341400
1996Q2,Retail Trade,41351200
1996Q3,Retail Trade,42310400
1996Q4,Retail Trade,45093200
1997Q1,Retail Trade,41457700
1997Q2,Retail Trade,45556000
1997Q3,Retail Trade,46481300
1997Q4,Retail Trade,48325900
1998Q1,Retail Trade,43740900
1998Q2,Retail Trade,48508100
1998Q3,Retail Trade,48410300
1998Q4,Retail Trade,48779200
1999Q1,Retail Trade,48972100
1999Q2,Retail Trade,47698100
1999Q3,Retail Trade,48172700
1999Q4,Retail Trade,48788900
2000Q1,Retail Trade,49167100
2000Q2,Retail Trade,48415700
2000Q3,Retail Trade,49954600
2000Q4,Retail Trade,51929200
2001Q1,Retail Trade,52168900
2001Q2,Retail Trade,52879700
2001Q3,Retail Trade,53649300
2001Q4,Retail Trade,56815800
2002Q1,Retail Trade,57387100
2002Q2,Retail Trade,57833800
2002Q3,Retail Trade,60015500
2002Q4,Retail Trade,62575000
2003Q1,Retail Trade,63189500
2003Q2,Retail Trade,63293800
2003Q3,Retail Trade,63610200
2003Q4,Retail Trade,66838100
2004Q1,Retail Trade,65662400
2004Q2,Retail Trade,63695200
2004Q3,Retail Trade,68250200
2004Q4,Retail Trade,72938100
2005Q1,Retail Trade,72599200
2005Q2,Retail Trade,70754000
2005Q3,Retail Trade,73751800
2005Q4,Retail Trade,76523500
2006Q1,Retail Trade,77924900
2006Q2,Retail Trade,74445200
2006Q3,Retail Trade,75810600
2006Q4,Retail Trade,77667600
2007Q1,Retail Trade,78781300
2007Q2,Retail Trade,78281900
2007Q3,Retail Trade,74958400
2007Q4,Retail Trade,79755000
2008Q1,Retail Trade,78620200
2008Q2,Retail Trade,79053300
2008Q3,Retail Trade,80594100
2008Q4,Retail Trade,80929200
2009Q1,Retail Trade,83065500
2009Q2,Retail Trade,78706000
2009Q3,Retail Trade,76615500
2009Q4,Retail Trade,83782400
2010Q1,Retail Trade,82179700
2010Q2,Retail Trade,84021400
2010Q3,Retail Trade,84434700
2010Q4,Retail Trade,87477500
2011Q1,Retail Trade,87814300
2011Q2,Retail Trade,87127400
2011Q3,Retail Trade,88781900
2011Q4,Retail Trade,92707400
2012Q1,Retail Trade,93354300
2012Q2,Retail Trade,94393600
2012Q3,Retail Trade,91141000
2012Q4,Retail Trade,93320600
2013Q1,Retail Trade,93376600
2013Q2,Retail Trade,98415100
2013Q3,Retail Trade,93176200
2013Q4,Retail Trade,97202500
2014Q1,Retail Trade,99299400
2014Q2,Retail Trade,97493500
2014Q3,Retail Trade,98815200
2014Q4,Retail Trade,105859400
2015Q1,Retail Trade,105137100
2015Q2,Retail Trade,103592600
2015Q3,Retail Trade,100699000
2015Q4,Retail Trade,106055400
2016Q1,Retail Trade,108874900
2016Q2,Retail Trade,110234100
2016Q3,Retail Trade,108971200
2016Q4,Retail Trade,113741100
2017Q1,Retail Trade,120149700
2017Q2,Retail Trade,117008300
2017Q3,Retail Trade,119733900
2017Q4,Retail Trade,124795500
2018Q1,Retail Trade,126134600
2018Q2,Retail Trade,127994800
2018Q3,Retail Trade,128391200
2018Q4,Retail Trade,136380800
1989Q1,Accommodation and Food Services,14269600
1989Q2,Accommodation and Food Services,13800100
1989Q3,Accommodation and Food Services,13470500
1989Q4,Accommodation and Food Services,13327800
